model,input_size,augmentation,lr,train_frac,n_train,n_params,best_epoch,total_epochs,total_time_s,test_mae,test_rmse,test_r2
efficientnet_b0,320,True,0.01,0.75,525,4008829,14,20,80.6,144.4403,206.9212,0.40438
mobilenet_v3_small,128,False,0.01,0.75,525,1518881,12,19,16.3,206.7832,287.9955,-0.1538
mobilenet_v3_small,128,True,0.01,0.75,525,1518881,6,13,11.5,258.4332,412.7079,-1.369436
mobilenet_v3_small,224,False,0.01,0.75,525,1518881,9,16,18.6,300.7359,384.4441,-1.056012
mobilenet_v3_small,224,True,0.01,0.75,525,1518881,6,13,15.9,224.7196,260.3152,0.057333
mobilenet_v3_small,320,False,0.01,0.75,525,1518881,20,20,22.5,487.0814,535.7863,-2.993397
mobilenet_v3_small,320,True,0.01,0.75,525,1518881,9,16,19.2,178.4923,213.3925,0.366542
resnet18,128,False,0.01,1.0,700,11177025,7,14,15.9,134.7271,191.5515,0.489577
resnet18,128,True,0.01,1.0,700,11177025,18,20,23.3,145.5146,206.1337,0.408905
resnet18,224,False,0.01,1.0,700,11177025,16,20,48.5,141.0846,203.677,0.422911
resnet18,224,True,0.01,1.0,700,11177025,10,17,42.4,146.1308,200.7898,0.439155
resnet18,320,False,0.01,1.0,700,11177025,10,17,54.1,140.5745,196.8812,0.460778
resnet18,320,True,0.01,1.0,700,11177025,10,17,54.5,144.6925,199.1452,0.448305
efficientnet_b0,128,False,0.01,1.0,700,4008829,15,20,29.8,138.8627,206.1206,0.40898
efficientnet_b0,128,True,0.01,1.0,700,4008829,8,15,22.6,145.7097,195.4502,0.468588
efficientnet_b0,224,False,0.01,1.0,700,4008829,6,13,40.3,145.9636,209.6307,0.38868
efficientnet_b0,224,True,0.01,1.0,700,4008829,15,20,61.4,142.3817,211.3186,0.378795
efficientnet_b0,320,False,0.01,1.0,700,4008829,7,14,70.5,133.7482,203.5614,0.423565
efficientnet_b0,320,True,0.01,1.0,700,4008829,11,18,93.8,139.0478,200.5095,0.44072
mobilenet_v3_small,128,False,0.01,1.0,700,1518881,18,20,22.1,146.6429,204.9448,0.415704
mobilenet_v3_small,128,True,0.01,1.0,700,1518881,5,12,13.5,714.4725,843.5962,-8.899846
mobilenet_v3_small,224,False,0.01,1.0,700,1518881,20,20,30.4,151.0409,201.6188,0.434515
mobilenet_v3_small,224,True,0.01,1.0,700,1518881,8,15,22.7,426.5548,477.3767,-2.170164
mobilenet_v3_small,320,False,0.01,1.0,700,1518881,19,20,28.6,226.6672,279.7939,-0.089019
mobilenet_v3_small,320,True,0.01,1.0,700,1518881,20,20,30.6,147.5176,193.254,0.480463
